Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
National Capital Planning Commission,Agency Overall,2021,0,0.0
Office of Government Ethics,Agency Overall,2021,10,0.0
National Railroad Passenger Corporation,Agency Overall,2021,170,12.0
Appraisal Subcommittee,Agency Overall,2021,0,0.0
Department of Energy,Agency Overall,2021,678,12.0
Occupational Safety and Health Review Commission,Agency Overall,2021,0,0.0
Inter-American Foundation,Agency Overall,2021,0,0.0
Court Services and Offender Supervision Agency,Agency Overall,2021,0,0.0
Federal Housing Finance Agency,Agency Overall,2021,19,0.0
Office of Personnel Management,Agency Overall,2021,190,1.0
Postal Regulatory Commission,Agency Overall,2021,1,0.0
Department of Transportation,Agency Overall,2021,4811,161.0
Presidio Trust,Agency Overall,2021,2,0.0
Environmental Protection Agency,Agency Overall,2021,1500,0.0
National Mediation Board,Agency Overall,2021,0,0.0
American Battle Monuments Commission,Agency Overall,2021,0,0.0
National Transportation Safety Board,Agency Overall,2021,114,0.0
Federal Deposit Insurance Corporation,Agency Overall,2021,24,1.0
Federal Communications Commission,Agency Overall,2021,21,7.0
Small Business Administration,Agency Overall,2021,2144,8.0
Department of Commerce,Agency Overall,2021,773,143.0
Office of National Drug Control Policy,Agency Overall,2021,15,0.0
Consumer Financial Protection Bureau,Agency Overall,2021,16,0.0
Peace Corps,Agency Overall,2021,64,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2021,0,0.0
National Science Foundation,Agency Overall,2021,383,0.0
Department of Agriculture,Agency Overall,2021,2081,170.0
Department of Labor,Agency Overall,2021,1216,295.0
Commodity Futures Trading Commission,Agency Overall,2021,14,0.0
United States Institute of Peace,Agency Overall,2021,3,0.0
Department of the Treasury,Agency Overall,2021,2280,35.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2021,69,0.0
Nuclear Regulatory Commission,Agency Overall,2021,86,1.0
Federal Maritime Commission,Agency Overall,2021,4,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2021,0,0.0
Merit Systems Protection Board,Agency Overall,2021,48,3.0
National Archives and Records Administration,Agency Overall,2021,4369,99.0
Securities and Exchange Commission,Agency Overall,2021,342,1.0
Federal Reserve System,Agency Overall,2021,17,1.0
Federal Election Commission,Agency Overall,2021,4,1.0
Office of Management and Budget,Agency Overall,2021,656,10.0
United States Trade and Development Agency,Agency Overall,2021,51,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2021,0,0.0
United States Access Board,Agency Overall,2021,1,0.0
Federal Trade Commission,Agency Overall,2021,9,0.0
National Indian Gaming Commission,Agency Overall,2021,1,0.0
