Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Advisory Council on Historic Preservation,Agency Overall,2020,0,0.05,0.05
Postal Regulatory Commission,Agency Overall,2020,0,1.0,1.0
James Madison Memorial Fellowship Foundation,Agency Overall,2020,0,0.1,0.1
Peace Corps,Agency Overall,2020,3,0.4,3.4
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2020,1,0.0,1.0
Harry S. Truman Scholarship Foundation,Agency Overall,2020,0,0.25,0.25
Department of Defense,Agency Overall,2020,507,730.16,1237.16
Environmental Protection Agency,Agency Overall,2020,88,176.69,264.69
Federal Housing Finance Agency,Agency Overall,2020,0,2.4,2.4
National Council on Disability,Agency Overall,2020,0,0.1,0.1
Privacy and Civil Liberties Oversight Board,Agency Overall,2020,0,0.5,0.5
U.S. Agency for Global Media,Agency Overall,2020,1,1.0,2.0
Farm Credit System Insurance Corporation,Agency Overall,2020,0,2.0,2.0
National Endowment for the Humanities,Agency Overall,2020,0,0.75,0.75
National Council on Disability,Agency Overall,2021,0,0.1,0.1
United States Copyright Office,Agency Overall,2021,0,0.18,0.18
Federal Financial Institutions Examination Council,Agency Overall,2021,0,0.1,0.1
National Credit Union Administration,Agency Overall,2021,0,2.15,2.15
Pension Benefit Guaranty Corporation,Agency Overall,2021,14,0.06,14.06
Commission of Fine Arts,Agency Overall,2021,0,1.0,1.0
United States African Development Foundation,Agency Overall,2021,0,1.0,1.0
Consumer Product Safety Commission,Agency Overall,2021,7,1.0,8.0
Council on Environmental Quality,Agency Overall,2021,2,1.1,3.1
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2021,0,1.25,1.25
Harry S. Truman Scholarship Foundation,Agency Overall,2021,0,1.0,1.0
AmeriCorps,Agency Overall,2021,0,0.4,0.4
Advisory Council on Historic Preservation,Agency Overall,2021,0,0.1,0.1
Federal Mediation and Conciliation Service,Agency Overall,2021,0,3.0,3.0
U.S. Agency for Global Media,Agency Overall,2021,1,0.5,1.5
Office of the United States Trade Representative,Agency Overall,2021,0,1.3,1.3
Social Security Advisory Board,Agency Overall,2021,0,0.05,0.05
National Endowment for the Humanities,Agency Overall,2021,0,0.63,0.63
Marine Mammal Commission,Agency Overall,2021,0,0.03,0.03
Administrative Conference of the United States,Agency Overall,2021,0,0.1,0.1
Legal Services Corporation,Agency Overall,2021,0,0.83,0.83
Surface Transportation Board,Agency Overall,2021,0,0.05,0.05
Department of the Interior,Agency Overall,2021,81,71.58,152.58
Office of Special Counsel,Agency Overall,2021,6,4.0,10.0
